Raw Image,Processed Image,MSE,PSNR,SSIM
Untitled 7165.jpg,cleaned_Untitled 7165.jpg,82.73072683,28.95413521,0.975965023
Untitled 7168.jpg,cleaned_Untitled 7168.jpg,78.53375054,29.18024022,0.978326573
Untitled 7169.jpg,cleaned_Untitled 7169.jpg,85.54420495,28.80889767,0.975373347
Untitled 7172.jpg,cleaned_Untitled 7172.jpg,84.46732791,28.86391605,0.977057251
Untitled 7173.jpg,cleaned_Untitled 7173.jpg,86.63054202,28.75409329,0.976328694
Untitled 7174.jpg,cleaned_Untitled 7174.jpg,84.61651562,28.85625223,0.975441725
Untitled 7175.jpg,cleaned_Untitled 7175.jpg,85.24071567,28.82433274,0.975475055
Untitled 7177.jpg,cleaned_Untitled 7177.jpg,84.07172804,28.88430387,0.975665996
Untitled 7178.jpg,cleaned_Untitled 7178.jpg,86.67404339,28.75191304,0.976345694
Untitled 7181.jpg,cleaned_Untitled 7181.jpg,83.8926918,28.89356231,0.975791209
Untitled 7184.jpg,cleaned_Untitled 7184.jpg,102.0860961,28.04113765,0.965297536
Untitled 7186.jpg,cleaned_Untitled 7186.jpg,76.0422991,29.32025122,0.974028528
Untitled 7189.jpg,cleaned_Untitled 7189.jpg,78.11957364,29.20320497,0.977996085
Untitled 7192.jpg,cleaned_Untitled 7192.jpg,83.70831638,28.90311754,0.975636172
Untitled 7194.jpg,cleaned_Untitled 7194.jpg,83.70031935,28.90353246,0.975606615
Untitled 7195.jpg,cleaned_Untitled 7195.jpg,79.09432691,29.14935026,0.978484977
Untitled 7196.jpg,cleaned_Untitled 7196.jpg,86.05050908,28.78326917,0.976767593
Untitled 7198.jpg,cleaned_Untitled 7198.jpg,78.64178365,29.17427006,0.977913971
Untitled 7201.jpg,cleaned_Untitled 7201.jpg,83.17272987,28.93099405,0.975496446
Untitled 7202.jpg,cleaned_Untitled 7202.jpg,83.24234902,28.92736034,0.975435283
Untitled 7203.jpg,cleaned_Untitled 7203.jpg,84.08844466,28.88344041,0.975675927
Untitled 7206.jpg,cleaned_Untitled 7206.jpg,85.23619891,28.82456287,0.975265523
Untitled 7207.jpg,cleaned_Untitled 7207.jpg,82.35679394,28.97380929,0.975681159
Untitled 7208.jpg,cleaned_Untitled 7208.jpg,85.0494943,28.83408625,0.975350583
Untitled 7209.jpg,cleaned_Untitled 7209.jpg,85.78781784,28.7965474,0.975183165
Untitled 7210.jpg,cleaned_Untitled 7210.jpg,80.96484795,29.04783856,0.977039935
Untitled 7211.jpg,cleaned_Untitled 7211.jpg,60.89340658,30.2851009,0.976698925
Untitled 7240.jpg,cleaned_Untitled 7240.jpg,104.4426448,27.942025,0.968559576
Untitled 7275.jpg,cleaned_Untitled 7275.jpg,101.3643326,28.07195196,0.968935632
Untitled 7277.jpg,cleaned_Untitled 7277.jpg,101.8472841,28.05130908,0.968976092
Untitled 7280.jpg,cleaned_Untitled 7280.jpg,98.34202514,28.20341213,0.970124758
Untitled 7281.jpg,cleaned_Untitled 7281.jpg,96.71150174,28.27602234,0.970476841
Untitled 7282.jpg,cleaned_Untitled 7282.jpg,104.2882901,27.94844814,0.968935968
Untitled 7285.jpg,cleaned_Untitled 7285.jpg,100.4529602,28.11117621,0.969340411
Untitled 7286.jpg,cleaned_Untitled 7286.jpg,102.767562,28.01224307,0.968902512
Untitled 7287.jpg,cleaned_Untitled 7287.jpg,101.712504,28.05706015,0.968970108
Untitled 7288.jpg,cleaned_Untitled 7288.jpg,101.4522658,28.0681861,0.969294906
Untitled 7290.jpg,cleaned_Untitled 7290.jpg,93.97459651,28.40069891,0.971511693
Untitled 7291.jpg,cleaned_Untitled 7291.jpg,96.69923402,28.27657327,0.970214352
Untitled 7292.jpg,cleaned_Untitled 7292.jpg,97.09175106,28.25898027,0.970213263
Untitled 7293.jpg,cleaned_Untitled 7293.jpg,100.3500723,28.11562671,0.969355949
Untitled 7296.jpg,cleaned_Untitled 7296.jpg,100.319438,28.1169527,0.969262841
Untitled 7297.jpg,cleaned_Untitled 7297.jpg,97.24682838,28.25204915,0.97021954
Untitled 7300.jpg,cleaned_Untitled 7300.jpg,102.2721507,28.03322972,0.968987467
Untitled 7304.jpg,cleaned_Untitled 7304.jpg,97.63117364,28.23491851,0.970125824
Untitled 7305.jpg,cleaned_Untitled 7305.jpg,96.77963526,28.2729638,0.970090331
Untitled 7306.jpg,cleaned_Untitled 7306.jpg,103.4721298,27.98256973,0.968875453
Untitled 7308.jpg,cleaned_Untitled 7308.jpg,101.910653,28.04860777,0.969121642
Untitled 7310.jpg,cleaned_Untitled 7310.jpg,101.8489961,28.05123608,0.969298089
Untitled 7314.jpg,cleaned_Untitled 7314.jpg,104.4612534,27.94125128,0.968510777
Untitled 7315.jpg,cleaned_Untitled 7315.jpg,96.1043017,28.30337533,0.970295199
Untitled 7317.jpg,cleaned_Untitled 7317.jpg,96.09684687,28.30371223,0.970361255
Untitled 7318.jpg,cleaned_Untitled 7318.jpg,96.79542985,28.27225508,0.970248008
Untitled 7319.jpg,cleaned_Untitled 7319.jpg,100.3605083,28.11517509,0.969288815
Untitled 7321.jpg,cleaned_Untitled 7321.jpg,99.81786346,28.13872091,0.969162624
Untitled 7322.jpg,cleaned_Untitled 7322.jpg,99.87583912,28.1361992,0.969176742
Untitled 7323.jpg,cleaned_Untitled 7323.jpg,101.1090848,28.08290181,0.969124895
Untitled 7325.jpg,cleaned_Untitled 7325.jpg,101.8510939,28.05114663,0.969139495
Untitled 7331.jpg,cleaned_Untitled 7331.jpg,83.13442403,28.93299469,0.9588896
Untitled 7332.jpg,cleaned_Untitled 7332.jpg,100.438151,28.11181652,0.969422158
Untitled 7333.jpg,cleaned_Untitled 7333.jpg,103.2308288,27.99270947,0.969312707
Untitled 7335.jpg,cleaned_Untitled 7335.jpg,104.4194348,27.94299023,0.968714752
Untitled 7336.jpg,cleaned_Untitled 7336.jpg,105.5465479,27.89636328,0.968736685
Untitled 7337.jpg,cleaned_Untitled 7337.jpg,103.5959049,27.97737773,0.968803731
Untitled 7338.jpg,cleaned_Untitled 7338.jpg,96.6323407,28.27957861,0.970715851
Untitled 7339.jpg,cleaned_Untitled 7339.jpg,96.62054961,28.28010857,0.970198851
Untitled 7340.jpg,cleaned_Untitled 7340.jpg,96.29195521,28.29490356,0.970384259
Untitled 7341.jpg,cleaned_Untitled 7341.jpg,97.25633279,28.25162471,0.970220468
Untitled 7342.jpg,cleaned_Untitled 7342.jpg,97.55033597,28.23851591,0.970266801
Untitled 7343.jpg,cleaned_Untitled 7343.jpg,102.890416,28.00705438,0.968996379
Untitled 7344.jpg,cleaned_Untitled 7344.jpg,102.4846555,28.02421515,0.969085699
Untitled 7348.jpg,cleaned_Untitled 7348.jpg,97.72677228,28.23066806,0.970235141
Untitled 7349.jpg,cleaned_Untitled 7349.jpg,98.54779691,28.19433441,0.970089455
Untitled 7350.jpg,cleaned_Untitled 7350.jpg,98.44014837,28.19908101,0.969889496
Untitled 7352.jpg,cleaned_Untitled 7352.jpg,103.4009878,27.98555673,0.968862632
Untitled 7353.jpg,cleaned_Untitled 7353.jpg,102.9155358,28.00599422,0.96910331
Untitled 7355.jpg,cleaned_Untitled 7355.jpg,98.6778895,28.18860509,0.970163446
Untitled 7356.jpg,cleaned_Untitled 7356.jpg,98.90504196,28.17861929,0.970090706
Untitled 7357.jpg,cleaned_Untitled 7357.jpg,97.38956726,28.24567925,0.970122474
Untitled 7358.jpg,cleaned_Untitled 7358.jpg,96.74807099,28.27438046,0.970347148
Untitled 7359.jpg,cleaned_Untitled 7359.jpg,96.82711789,28.27083356,0.970545849
Untitled 7360.jpg,cleaned_Untitled 7360.jpg,95.86224601,28.31432761,0.970430489
Untitled 7361.jpg,cleaned_Untitled 7361.jpg,114.1466387,27.55617234,0.965215279
Untitled 7362.jpg,cleaned_Untitled 7362.jpg,79.08305363,29.14996931,0.961098291
Untitled 7364.jpg,cleaned_Untitled 7364.jpg,98.19600614,28.20986536,0.9706354
Untitled 7366.jpg,cleaned_Untitled 7366.jpg,102.0491794,28.04270844,0.969118502
Untitled 7368.jpg,cleaned_Untitled 7368.jpg,100.6912286,28.10088721,0.969287987
Untitled 7370.jpg,cleaned_Untitled 7370.jpg,103.5202619,27.98054999,0.96877639
Untitled 7371.jpg,cleaned_Untitled 7371.jpg,97.71763278,28.23107423,0.970308807
Untitled 7372.jpg,cleaned_Untitled 7372.jpg,98.54959732,28.19425507,0.97029947
Untitled 7378.jpg,cleaned_Untitled 7378.jpg,116.0474786,27.48444652,0.964598618
Untitled 7379.jpg,cleaned_Untitled 7379.jpg,108.6457747,27.7706752,0.966096722
Untitled 7380.jpg,cleaned_Untitled 7380.jpg,112.8288628,27.6066015,0.964686681
Untitled 7381.jpg,cleaned_Untitled 7381.jpg,113.4173185,27.58400986,0.964639468
Untitled 7383.jpg,cleaned_Untitled 7383.jpg,97.34765464,28.24754868,0.970375603
Untitled 7386.jpg,cleaned_Untitled 7386.jpg,78.86106851,29.16217704,0.959880373
Untitled 7397.jpg,cleaned_Untitled 7397.jpg,104.3670565,27.94516926,0.968687383
Untitled 7398.jpg,cleaned_Untitled 7398.jpg,104.7658983,27.9286042,0.968715247
Untitled 7401.jpg,cleaned_Untitled 7401.jpg,96.99350244,28.26337719,0.970299202
Untitled 7404.jpg,cleaned_Untitled 7404.jpg,95.79564606,28.3173459,0.970338206
Untitled 7406.jpg,cleaned_Untitled 7406.jpg,100.5438609,28.10724803,0.969349144
Untitled 7411.jpg,cleaned_Untitled 7411.jpg,96.24942451,28.29682219,0.970694762
Untitled 7415.jpg,cleaned_Untitled 7415.jpg,101.5455528,28.06419453,0.969128655
Untitled 7417.jpg,cleaned_Untitled 7417.jpg,96.29287953,28.29486187,0.970432627
Untitled 7418.jpg,cleaned_Untitled 7418.jpg,99.655693,28.14578247,0.969264057
Untitled 7419.jpg,cleaned_Untitled 7419.jpg,101.2028847,28.07887469,0.969156882
Untitled 7420.jpg,cleaned_Untitled 7420.jpg,101.628899,28.0606314,0.969050119
Untitled 7421.jpg,cleaned_Untitled 7421.jpg,102.4714611,28.02477432,0.968895068
Untitled 7422.jpg,cleaned_Untitled 7422.jpg,101.5671746,28.06326989,0.969104017
Untitled 7423.jpg,cleaned_Untitled 7423.jpg,97.98211725,28.21933541,0.970251117
Untitled 7426.jpg,cleaned_Untitled 7426.jpg,96.26366223,28.29617981,0.970116467
Untitled 7427.jpg,cleaned_Untitled 7427.jpg,96.26015866,28.29633788,0.970183461
Untitled 7428.jpg,cleaned_Untitled 7428.jpg,97.61656941,28.2355682,0.970057367
Untitled 7429.jpg,cleaned_Untitled 7429.jpg,97.81020448,28.22696194,0.970404822
,,,,
AVERAGE,,83.62651161,29.55629114,0.975680222
StdDev,,50.09912352,3.073365895,0.014436261
